title,field,provider,closing_date,application_links,application_url,detail_page_url,source_page
"Bergrivier Municipality Bursary South Africa 2026","Accounting","BERGRIVIER MUNICIPALITY","29 August 2025","https://www.bergmun.org.za/sites/default/files/documents/Eksterne%20Studiebeurs%20Aansoekvorm%202025_2026.pdf","https://www.bergmun.org.za/sites/default/files/documents/Eksterne%20Studiebeurs%20Aansoekvorm%202025_2026.pdf","https://www.zabursaries.co.za/government-bursaries-south-africa/bergrivier-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Bitou Municipality Bursary South Africa 2025","Accounting","BITOU MUNICIPALITY","","https://www.bitou.gov.za/sites/default/files/2025-01/Bursary-Application-Form-2025_0.pdf","https://www.bitou.gov.za/sites/default/files/2025-01/Bursary-Application-Form-2025_0.pdf","https://www.zabursaries.co.za/government-bursaries-south-africa/bitou-municipality-mayoral-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Breede Valley Municipality Bursary South Africa 2026","Accounting","BREEDE VALLEY MUNICIPALITY","8 December 2025","https://bvm.gov.za/wp-content/uploads/2025/11/Mayoral-Bursary-Application-Form-2026.pdf","https://bvm.gov.za/wp-content/uploads/2025/11/Mayoral-Bursary-Application-Form-2026.pdf","https://www.zabursaries.co.za/government-bursaries-south-africa/breede-valley-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Bushbuckridge Local Municipality Bursary South Africa 2024","Accounting; Construction & Built Environment; Law","BUSHBUCKRIDGE LOCAL MUNICIPALITY","","https://www.zabursaries.co.za/government-bursaries-south-africa/bushbuckridge-local-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/bushbuckridge-local-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/bushbuckridge-local-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Cape Agulhas Municipality Bursary South Africa 2025","Accounting","CAPE AGULHAS MUNICIPALITY","17 January 2025","https://www.zabursaries.co.za/government-bursaries-south-africa/cape-agulhas-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/cape-agulhas-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/cape-agulhas-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Cape Winelands District Municipality Mayoral Bursary South Africa 2021 - 2022","Accounting; Education; Engineering; Law; Medical","Cape Winelands District Municipality Mayoral Bursary South Africa 2021 - 2022","30 November 2017","https://www.zabursaries.co.za/government-bursaries-south-africa/cape-winelands-district-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/cape-winelands-district-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/cape-winelands-district-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"City of Cape Town Bursary South Africa 2026","Accounting; Construction & Built Environment; Law; Medical","CITY OF CAPE TOWN","10 October 2025","mailto:external.bursaries2026@capetown.gov.za | https://resource.capetown.gov.za/documentcentre/Documents/Forms%2c%20notices%2c%20tariffs%20and%20lists/External-Bursary-Application-Form.pdf | https://www.capetown.gov.za/Work%20and%20business/See-all-City-facilities/Our-service-facilities/Libraries | mailto: external.bursaries2026@capetown.gov.za","https://resource.capetown.gov.za/documentcentre/Documents/Forms%2c%20notices%2c%20tariffs%20and%20lists/External-Bursary-Application-Form.pdf","https://www.zabursaries.co.za/government-bursaries-south-africa/city-of-cape-town-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Department of Tourism Bursary South Africa 2026","Accounting; Commerce; Postgraduate","DEPARTMENT OF TOURISM","20 March 2026","mailto:Bursary2026@tourism.gov.za | mailto: Bursary2026@tourism.gov.za","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-tourism-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-tourism-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Drakenstein Municipality Bursary South Africa 2026","Accounting; Construction & Built Environment","DRAKENSTEIN MUNICIPALITY","10 October 2025","mailto:ExternalBursaries@drakenstein.gov.za | mailto:RuralBursaries@drakenstein.gov.za | https://www.drakenstein.gov.za/sites/dw/DocumentLibrary/2b.%20Drakenstein%20Mun%20Application%20Form%20for%20Bursary%20(Rural%20%26%20External)%202025-2026.pdf | mailto: ExternalBursaries@drakenstein.gov.za | mailto: RuralBursaries@drakenstein.gov.za","https://www.drakenstein.gov.za/sites/dw/DocumentLibrary/2b.%20Drakenstein%20Mun%20Application%20Form%20for%20Bursary%20(Rural%20%26%20External)%202025-2026.pdf","https://www.zabursaries.co.za/government-bursaries-south-africa/drakenstein-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Eastern Cape Provincial Treasury Bursary South Africa 2026","Accounting; Government","EC TREASURY","31 January 2026","mailto:Vuyo.nohaji@ectreasury.gov.za | mailto:Monde.siguba@ectreasury.gov.za | mailto: Vuyo.nohaji@ectreasury.gov.za | mailto: Monde.siguba@ectreasury.gov.za","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-provincial-treasury-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-provincial-treasury-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Government Bursaries South Africa 2026","Accounting","Government Bursaries South Africa 2026","","https://s.w.org/images/core/emoji/17.0.2/72x72/ | https://s.w.org/images/core/emoji/17.0.2/svg/","https://s.w.org/images/core/emoji/17.0.2/72x72/","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-department-of-roads-and-transport-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Gauteng Provincial Treasury Bursary South Africa 2024","Accounting","GAUTENG PROVINCIAL TREASURY","30 November 2023","mailto:gpt.externalbursary@gauteng.gov.za | mailto: gpt.externalbursary@gauteng.gov.za","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-provincial-treasury-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-provincial-treasury-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
